,Date,Close,High,Low,Open,Volume
0,2024-09-27,227.2897491455078,229.01596089620384,226.80083496693396,227.9582911728241,34026000
1,2024-09-30,232.4883270263672,232.4883270263672,229.14567760776436,229.53482055042812,54541900
2,2024-10-01,225.71324157714844,229.14567442683443,223.24866456606327,229.01597026460064,63285000
3,2024-10-02,226.281982421875,226.8706831083472,222.5302449869956,225.39393750024195,32880600
4,2024-10-03,225.1744079589844,226.3119038145279,222.82957789090327,224.6455731013804,34044200
5,2024-10-04,226.30194091796875,227.49930262356304,223.63780617480535,227.39951613756347,37245100
6,2024-10-07,221.20315551757807,225.1943712346882,220.84394549402705,224.0069821228032,39505400
7,2024-10-08,225.27420043945312,225.4837307412941,222.7597302404025,223.8074274254469,31855700
8,2024-10-09,229.03591918945312,229.24546472466872,224.3362709632568,224.7353864657012,33591100
9,2024-10-10,228.5370178222656,228.99601435408127,226.67112924406288,227.27979028338345,28183500
10,2024-10-11,227.05029296875,228.9062089337624,226.8407474391105,228.79644988971887,31759200
11,2024-10-14,230.79205322265625,231.22110160659443,228.09798564307096,228.19775690140835,39882100
12,2024-10-15,233.33645629882807,236.9684620133565,231.85969551276995,233.0969778733182,64751400
13,2024-10-16,231.27099609375,231.61024577942743,229.33525401328015,231.09139869260775,34082200
14,2024-10-17,231.6401824951172,233.3364614020046,230.0137723986246,232.9173703418766,32993800
15,2024-10-18,234.48391723632807,235.66131853389135,233.4960858911256,235.66131853389135,46431500
16,2024-10-21,235.96067810058597,236.32987592195377,233.9351372634737,233.9351372634737,36254500
17,2024-10-22,235.342041015625,235.70125104779564,232.08920560922664,233.376366009758,38846600
18,2024-10-23,230.25323486328125,234.62362105235997,227.25982300232985,233.56595129753524,52287000
19,2024-10-24,230.0636749267578,230.3131259260407,227.90841463888628,229.47495899723685,31109500
20,2024-10-25,230.9018096923828,232.7078323586645,229.0658541264054,229.2354789664412,38802300
21,2024-10-28,232.88743591308597,234.21451699403664,232.03931169048732,232.80762499530724,36087100
22,2024-10-29,233.15684509277344,233.815399347975,231.8098189074392,232.58810476348472,35417200
23,2024-10-30,229.5946807861328,232.95727501758805,229.04588560251636,232.09916306464564,47070900
24,2024-10-31,225.4138946533203,229.325284321648,224.8750719925984,228.83635490362704,64370100
25,2024-11-01,222.42047119140625,224.8551151455125,219.78626950218683,220.48472918772245,65276700
26,2024-11-04,221.5224456787109,222.3007315284092,219.2275088130919,220.5046966292777,44944500
27,2024-11-05,222.95928955078125,223.4581915257104,220.65436486265335,221.31291912362707,28111300
28,2024-11-06,222.23089599609372,225.5735453041769,220.7042571772517,222.1211369530596,54561100
29,2024-11-07,226.98043823242188,227.37956894750107,224.0768403097807,224.13670611072257,42137700
30,2024-11-08,226.7107391357422,228.4088689967903,226.16134014604208,226.92049995960824,38328800
31,2024-11-11,223.98373413085935,225.45212091614076,221.25673663335024,224.7528927426808,42005600
32,2024-11-12,223.98373413085935,225.34224111445195,223.11469448970428,224.30339000560164,40398300
33,2024-11-13,224.8727569580078,226.4010754152989,222.5153482196322,223.76397540644064,48566200
34,2024-11-14,227.9693603515625,228.61864039722624,224.7528954725484,224.77287777547028,44923900
35,2024-11-15,224.7528839111328,226.6707733581308,224.023689933323,226.15134020310103,47923700
36,2024-11-18,227.7695770263672,229.4876892234719,224.9227009955052,225.00261496304853,44686000
37,2024-11-19,228.0292816162109,229.9072217123872,226.4110657200773,226.7307063420897,36211800
38,2024-11-20,228.7484893798828,229.67746064503265,225.64190448211676,227.80951934283004,35169600
39,2024-11-21,228.2690277099609,229.907225938216,225.46211628612437,228.6286329426038,42108300
40,2024-11-22,229.61753845214844,230.4666110292765,227.80952873867184,227.80952873867184,38168300
41,2024-11-25,232.6142425537109,232.99383009111637,229.48769048234251,231.2058026888721,90152800
42,2024-11-26,234.8018341064453,235.31128373473047,233.07373841155265,233.07373841155265,45986200
43,2024-11-27,234.67198181152344,235.43115689965904,233.55321672420507,234.21249554010248,33498400
44,2024-11-29,237.06935119628903,237.5488197625333,233.71304074851764,234.5521145499528,28481400
45,2024-12-02,239.3268585205078,240.52553753151284,236.89953466637493,237.00941446483552,48137100
46,2024-12-03,242.3834991455078,242.49337894569655,238.6376176509325,239.54662188503684,38861000
47,2024-12-04,242.74310302734372,243.84190102311464,240.9850414761411,242.6032573953393,44383900
48,2024-12-05,242.7730712890625,244.2714238935446,241.86408229295347,243.72204013219252,40033900
49,2024-12-06,242.5732879638672,244.3613305629988,241.8141281502541,242.6432183998472,36870600
50,2024-12-09,246.47900390625,246.96847124510987,241.48449521514056,241.56440918324205,44649200
51,2024-12-10,247.4978790283203,247.93739821602463,245.0705399660552,246.61884065291167,36914800
52,2024-12-11,246.2192840576172,250.5245479203196,245.98952569372008,247.6876707672576,45205800
53,2024-12-12,247.68768310546875,248.46682524629017,245.4101731068781,246.61885092340057,32777500
54,2024-12-13,247.85748291015625,249.016197294528,245.96955931284188,247.54782582286597,33155300
55,2024-12-16,250.7642822265625,251.1039203968556,247.3780059899919,247.71764416028495,51694800
56,2024-12-17,253.20159912109372,253.5512208135588,249.50566587259755,249.80533943156328,51356400
57,2024-12-18,247.77757263183597,254.0007260278641,247.46791553993853,251.883059276542,56774100
58,2024-12-19,249.51565551757807,251.72323503929724,246.81862390484892,247.2281772707384,60882300
59,2024-12-20,254.21051025390625,254.71994465608725,245.4201718605057,247.76758181309805,147495300
60,2024-12-23,254.9896545410156,255.36922684225436,253.171646035914,254.49020366493687,40858800
61,2024-12-24,257.9164428710937,257.92641115938613,255.0096198916901,255.2094124344067,23234700
62,2024-12-26,258.7355041503906,259.81433504408284,257.3470466563245,257.90642916266114,27237100
63,2024-12-27,255.30929565429688,258.41589596104086,252.78207543596488,257.54682582842287,42355300
64,2024-12-30,251.9230194091797,253.22159473829512,250.47461491371797,251.95298524244893,35557500
