Holder,Shares,Ticker
"Geode Capital Management, LLC",439883,
"Susquehanna International Group, LLP",278256,
Squarepoint Ops LLC,174312,
"Jane Street Group, LLC",112132,
UBS Group AG,100041,UBS
"Renaissance Technologies, LLC",85422,
"Group One Trading, L.P.",62914,
"Ground Swell Capital, LLC",45866,
HRT Financial LP,38754,
Citadel Advisors Llc,38251,
