Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,2024-09-26,111.58513641357422,113.01660963281871,111.56525821184256,112.3505723196282,269400
1,1,1,1,1,1,2024-09-27,113.1259536743164,114.66676831090231,111.68453762617558,112.2909251388064,256800
2,2,2,2,2,2,2024-09-30,113.29495239257812,114.38843553219942,111.94300711967006,112.0622990852344,229900
3,3,3,3,3,3,2024-10-01,111.4757843017578,113.81186352805008,110.88928256411296,113.81186352805008,272300
4,4,4,4,4,4,2024-10-02,110.66064453125,111.19744698834252,109.46775523829228,110.42206818949948,182600
5,5,5,5,5,5,2024-10-03,109.74609375,110.44194456199924,108.50349759699776,109.60692358760016,171300
6,6,6,6,6,6,2024-10-04,106.02825164794922,111.167627684471,105.80955350440271,111.167627684471,434000
7,7,7,7,7,7,2024-10-07,105.48150634765624,106.02825170682613,104.59677846405792,105.44174235933431,264200
8,8,8,8,8,8,2024-10-08,106.33641052246094,107.4398365226065,106.03818440947911,107.06208243493552,299200
9,9,9,9,9,9,2024-10-09,105.64055633544922,107.66847426570912,105.57097125087093,106.75392527290722,255000
10,10,10,10,10,10,2024-10-10,105.55108642578124,105.73996346530224,104.36813247796854,104.73594366435024,275800
11,11,11,11,11,11,2024-10-11,105.64055633544922,106.93285943099502,104.50730919562832,105.7797340888112,281600
12,12,12,12,12,12,2024-10-14,107.51936340332033,107.55911980605528,105.32244673406444,105.67037972373817,196800
13,13,13,13,13,13,2024-10-15,108.30467987060548,109.51745495414008,107.39013090355502,107.7877631974655,169700
14,14,14,14,14,14,2024-10-16,110.23319244384766,110.57118255083394,108.76196280413394,108.9508322674859,144600
15,15,15,15,15,15,2024-10-17,110.11389923095705,110.52147441649495,109.05023720925738,110.05425704154374,149400
16,16,16,16,16,16,2024-10-18,108.67249298095705,110.42207055441024,108.2350966915424,110.42207055441024,240200
17,17,17,17,17,17,2024-10-21,104.31843566894533,108.51344153537448,104.11961573202622,108.51344153537448,364300
18,18,18,18,18,18,2024-10-22,103.02613067626952,104.06991446880096,102.79749723339064,103.93074430769076,359900
19,19,19,19,19,19,2024-10-23,99.42757415771484,104.01026954800324,98.1650997561294,99.93455553066576,750400
20,20,20,20,20,20,2024-10-24,100.4813003540039,101.2367933785926,98.93053514814204,99.8450917100317,297700
21,21,21,21,21,21,2024-10-25,100.28247833251952,101.98234897889236,99.3281653863561,101.98234897889236,295600
22,22,22,22,22,22,2024-10-28,101.72389221191406,102.48932809700416,100.90874944754847,101.13738289012392,196400
23,23,23,23,23,23,2024-10-29,101.83324432373048,101.8928865132804,100.33218601834764,100.33218601834764,232600
24,24,24,24,24,24,2024-10-30,100.10354614257812,103.50329508614524,100.06378973855512,101.27655725059368,251900
25,25,25,25,25,25,2024-10-31,99.08958435058594,100.23277428691225,98.9305284083262,99.89478420171272,262800
26,26,26,26,26,26,2024-11-01,98.80130767822266,101.58472617822818,98.65219461854284,99.11941199957712,269500
27,27,27,27,27,27,2024-11-04,99.9643783569336,101.42567272625674,98.48320578512548,98.48320578512548,204600
28,28,28,28,28,28,2024-11-05,101.75371551513672,102.02211295011918,99.3182300618553,99.3182300618553,179100
29,29,29,29,29,29,2024-11-06,101.16720581054688,104.12955839845532,96.59445345022422,103.54305665028104,579600
30,30,30,30,30,30,2024-11-07,103.01618957519533,103.45358585155158,100.36200599102636,101.1672058777685,545300
31,31,31,31,31,31,2024-11-08,104.64647674560548,105.34233515817722,102.83725700764724,103.45358744434704,281500
32,32,32,32,32,32,2024-11-11,105.4715576171875,106.0680022405955,104.39795274453016,104.7458857270393,232500
33,33,33,33,33,33,2024-11-12,104.17926025390624,106.53521761005274,103.75180689133296,105.18327244396994,283200
34,34,34,34,34,34,2024-11-13,102.12152099609376,104.77570443967949,100.90874599167353,104.52718522022305,343900
35,35,35,35,35,35,2024-11-14,100.64034271240234,102.45950525021168,100.1433042649706,102.45950525021168,275100
36,36,36,36,36,36,2024-11-15,101.86306762695312,102.30046391768268,99.42757451672438,99.42757451672438,282400
37,37,37,37,37,37,2024-11-18,102.17213439941406,102.51110932517864,100.99567903424538,102.51110932517864,170000
38,38,38,38,38,38,2024-11-19,104.5549545288086,104.79423139613232,101.35459885488358,101.35459885488358,217700
39,39,39,39,39,39,2024-11-20,102.41140747070312,104.60479513837504,101.52408183734252,104.38545485031302,233300
40,40,40,40,40,40,2024-11-21,103.63771057128906,104.01657384417793,102.83014640577215,103.29873564972988,152700
41,41,41,41,41,41,2024-11-22,105.30269622802734,105.5519451711482,103.25885185184674,103.25885185184674,166500
42,42,42,42,42,42,2024-11-25,107.46617889404295,108.63266216207926,106.01056592934845,106.62869846122696,633900
43,43,43,43,43,43,2024-11-26,106.04047393798828,106.31963154506155,104.68455904094009,106.28972288808576,232000
44,44,44,44,44,44,2024-11-27,106.54894256591795,107.9746468465356,106.21993213043524,106.82810016942784,202800
45,45,45,45,45,45,2024-11-29,106.80815887451172,108.15410930933504,106.44923977275543,107.80515468906266,107100
46,46,46,46,46,46,2024-12-02,106.37944793701172,107.32659850305768,105.42233288970974,106.8081564317227,172600
47,47,47,47,47,47,2024-12-03,105.83110809326172,106.62870018747948,105.12324197197276,106.10029361852251,148100
48,48,48,48,48,48,2024-12-04,105.32263946533205,105.88095469920182,103.69753899161844,105.66162200480623,174200
49,49,49,49,49,49,2024-12-05,105.5020980834961,106.38942376079464,104.7344146437396,105.2927298726534,149200
50,50,50,50,50,50,2024-12-06,106.74834442138672,107.32660383488192,105.79122932653672,106.09033112150998,165700
51,51,51,51,51,51,2024-12-09,104.97368621826172,107.51602088439896,104.37549027366909,107.3465334279513,320600
52,52,52,52,52,52,2024-12-10,103.70750427246094,105.22294221389168,102.7105084291682,104.1162762193188,244600
