,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Close,High,Low,Open,Volume
0,0,0,0,0,0,2024-09-26,7.744999885559082,7.849999904632568,7.199999809265137,7.199999809265137,30087
1,1,1,1,1,1,2024-09-27,7.869999885559082,7.940000057220459,7.559999942779541,7.739999771118164,14076
2,2,2,2,2,2,2024-09-30,8.850000381469727,8.850000381469727,7.550000190734863,7.789999961853027,163409
3,3,3,3,3,3,2024-10-01,8.079999923706055,8.819999694824219,7.989999771118164,8.819999694824219,30023
4,4,4,4,4,4,2024-10-02,8.130000114440918,8.40999984741211,8.020000457763672,8.020000457763672,21164
5,5,5,5,5,5,2024-10-03,8.079999923706055,8.390000343322754,8.005000114440918,8.1899995803833,19032
6,6,6,6,6,6,2024-10-04,8.220000267028809,8.229999542236328,7.9375,8.210000038146973,23713
7,7,7,7,7,7,2024-10-07,7.760000228881836,8.167099952697754,7.760000228881836,8.15999984741211,22862
8,8,8,8,8,8,2024-10-08,7.829999923706055,7.980000019073486,7.340099811553955,7.900000095367432,27006
9,9,9,9,9,9,2024-10-09,8.069999694824219,8.1899995803833,7.809999942779541,7.829999923706055,15531
10,10,10,10,10,10,2024-10-10,8.15999984741211,8.239999771118164,8.0,8.069999694824219,8417
11,11,11,11,11,11,2024-10-11,8.15999984741211,8.3100004196167,8.079999923706055,8.079999923706055,8432
12,12,12,12,12,12,2024-10-14,8.069999694824219,8.164999961853027,7.961299896240234,8.15999984741211,8340
13,13,13,13,13,13,2024-10-15,8.130000114440918,8.300000190734863,8.050000190734863,8.050000190734863,8756
14,14,14,14,14,14,2024-10-16,8.100000381469727,8.100000381469727,7.820000171661377,8.069999694824219,23317
15,15,15,15,15,15,2024-10-17,8.109999656677246,8.170000076293945,7.849999904632568,8.100000381469727,22693
16,16,16,16,16,16,2024-10-18,8.470000267028809,8.470000267028809,8.074999809265137,8.199999809265137,27998
17,17,17,17,17,17,2024-10-21,8.359999656677246,8.40999984741211,8.34000015258789,8.399999618530273,2193854
18,18,18,18,18,18,2024-10-22,8.399999618530273,8.399999618530273,8.350000381469727,8.350000381469727,1443954
19,19,19,19,19,19,2024-10-23,8.399999618530273,8.399999618530273,8.350000381469727,8.380000114440918,906805
