date,score
2025-01-06,40
2025-01-07,41
2025-01-08,34
2025-01-09,21
2025-01-10,32
2025-01-11,7
2025-01-12,6
2025-01-13,33
2025-01-14,34
2025-01-15,33
2025-01-16,45
2025-01-17,41
2025-01-18,9
2025-01-19,5
2025-01-20,14
2025-01-21,64
2025-01-22,56
2025-01-23,43
2025-01-24,38
2025-01-25,10
2025-01-26,8
2025-01-27,64
2025-01-28,60
2025-01-29,51
2025-01-30,100
2025-01-31,98
2025-02-01,15
2025-02-02,11
2025-02-03,61
2025-02-04,51
2025-02-05,48
2025-02-06,43
