,date,stock_ticker,price,insider_name,relationship,transaction_type,shares,value,shares_total,xml_link
54,2024-04-11,AAPL,173.19,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,12700,2199513.0,148282,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
55,2024-04-11,AAPL,174.12,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,27600,4805712.0,120682,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
56,2024-04-11,AAPL,175.02,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,12894,2256707.88,107788,https://www.sec.gov/Archives/edgar/data/320193/000032019324000055/wk-form4_1713220215.xml
61,2024-04-02,AAPL,168.91,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,54732,9244782.12,136572,https://www.sec.gov/Archives/edgar/data/320193/000032019324000051/wk-form4_1712183580.xml
65,2024-04-01,AAPL,170.03,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,99183,16864085.49,3377407,https://www.sec.gov/Archives/edgar/data/320193/000032019324000049/wk-form4_1712183493.xml
66,2024-04-02,AAPL,168.62,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,97062,16366594.44,3280345,https://www.sec.gov/Archives/edgar/data/320193/000032019324000049/wk-form4_1712183493.xml
67,2024-04-02,AAPL,169.3,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,165,27934.5,3280180,https://www.sec.gov/Archives/edgar/data/320193/000032019324000049/wk-form4_1712183493.xml
70,2024-04-02,AAPL,168.9,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,54732,9244234.8,293393,https://www.sec.gov/Archives/edgar/data/320193/000032019324000048/wk-form4_1712183434.xml
71,2024-02-29,AAPL,180.94,LEVINSON ARTHUR D,Director,Sale,100000,18094000.0,4434576,https://www.sec.gov/Archives/edgar/data/320193/000032019324000036/wk-form4_1709336072.xml
80,2023-11-29,AAPL,192.0,KONDO CHRIS,Officer (Principal Accounting Officer),Sale,5513,1058496.0,29174,https://www.sec.gov/Archives/edgar/data/320193/000032019323000113/wk-form4_1701473530.xml
83,2023-11-17,AAPL,188.79,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,123448,23305747.92,0,https://www.sec.gov/Archives/edgar/data/320193/000032019323000111/wk-form4_1700523067.xml
84,2023-11-10,AAPL,184.04,KONDO CHRIS,Officer (Principal Accounting Officer),Sale,4806,884496.24,34687,https://www.sec.gov/Archives/edgar/data/320193/000032019323000109/wk-form4_1700004649.xml
87,2023-10-06,AAPL,177.0,WILLIAMS JEFFREY E,Officer (COO),Sale,69785,12351945.0,489817,https://www.sec.gov/Archives/edgar/data/320193/000032019323000097/wk-form4_1696977071.xml
88,2023-10-06,AAPL,177.89,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,32010,5694258.9,139346,https://www.sec.gov/Archives/edgar/data/320193/000032019323000096/wk-form4_1696977012.xml
89,2023-10-09,AAPL,178.55,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,19000,3392450.0,120346,https://www.sec.gov/Archives/edgar/data/320193/000032019323000096/wk-form4_1696977012.xml
90,2023-10-09,AAPL,178.91,Maestri Luca,"Officer (Senior Vice President, CFO)",Sale,12685,2269473.35,107661,https://www.sec.gov/Archives/edgar/data/320193/000032019323000096/wk-form4_1696977012.xml
95,2023-10-03,AAPL,172.08,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,61610,10601848.8,140371,https://www.sec.gov/Archives/edgar/data/320193/000032019323000092/wk-form4_1696381688.xml
96,2023-10-03,AAPL,172.65,O'BRIEN DEIRDRE,Officer (Senior Vice President),Sale,3926,677823.9,136445,https://www.sec.gov/Archives/edgar/data/320193/000032019323000092/wk-form4_1696381688.xml
101,2023-10-03,AAPL,171.42,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,55664,9541922.88,3464958,https://www.sec.gov/Archives/edgar/data/320193/000032019323000089/wk-form4_1696381457.xml
102,2023-10-03,AAPL,172.52,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,99223,17117951.96,3365735,https://www.sec.gov/Archives/edgar/data/320193/000032019323000089/wk-form4_1696381457.xml
103,2023-10-03,AAPL,173.18,COOK TIMOTHY D,"Director, Officer (Chief Executive Officer)",Sale,85682,14838408.76,3280053,https://www.sec.gov/Archives/edgar/data/320193/000032019323000089/wk-form4_1696381457.xml
106,2023-10-03,AAPL,171.62,Adams Katherine L.,"Officer (SVP, GC and Secretary)",Sale,25850,4436377.0,456400,https://www.sec.gov/Archives/edgar/data/320193/000032019323000088/wk-form4_1696381345.xml
