date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-16,MTDR,MTDR,57.19,Erman Bryan A,2015754,,Tax Withholding (RSU Vesting),1050,60049.5,77762,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000048/wk-form4_1740010540.xml
2025-02-17,MTDR,MTDR,57.19,Erman Bryan A,2015754,,Tax Withholding (RSU Vesting),1527,87329.13,76235,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000048/wk-form4_1740010540.xml
2025-02-16,MTDR,MTDR,57.19,Elsener William Thomas,1934692,,Tax Withholding (RSU Vesting),1050,60049.5,110274,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000047/wk-form4_1740010519.xml
2025-02-17,MTDR,MTDR,57.19,Elsener William Thomas,1934692,,Tax Withholding (RSU Vesting),1527,87329.13,108747,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000047/wk-form4_1740010519.xml
2025-02-14,MTDR,MTDR,57.12,Calvert Christopher P,2020286,,Tax Withholding (RSU Vesting),1312,74941.44,87870,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000046/wk-form4_1740010497.xml
2025-02-16,MTDR,MTDR,57.19,Calvert Christopher P,2020286,,Tax Withholding (RSU Vesting),1050,60049.5,86820,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000046/wk-form4_1740010497.xml
2025-02-17,MTDR,MTDR,57.19,Calvert Christopher P,2020286,,Tax Withholding (RSU Vesting),1527,87329.13,85293,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000046/wk-form4_1740010497.xml
2025-02-16,MTDR,MTDR,57.19,Willey Brian J,1921604,,Tax Withholding (RSU Vesting),1050,60049.5,92678,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000044/wk-form4_1740010444.xml
2025-02-17,MTDR,MTDR,57.19,Willey Brian J,1921604,,Tax Withholding (RSU Vesting),1527,87329.13,91151,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000044/wk-form4_1740010444.xml
2025-01-07,MTDR,MTDR,58.35,Macalik Robert T,1647280,,Tax Withholding (RSU Vesting),5552,323959.2,112694,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000019/wk-form4_1736551248.xml
2025-01-07,MTDR,MTDR,58.35,Stetson Glenn W,2020289,,Tax Withholding (RSU Vesting),5278,307971.3,94569,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000018/wk-form4_1736551220.xml
2025-01-07,MTDR,MTDR,58.35,Erman Bryan A,2015754,,Tax Withholding (RSU Vesting),5552,323959.2,78812,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000017/wk-form4_1736551194.xml
2025-01-07,MTDR,MTDR,58.35,Elsener William Thomas,1934692,,Tax Withholding (RSU Vesting),5552,323959.2,111324,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000016/wk-form4_1736551162.xml
2025-01-07,MTDR,MTDR,58.35,Calvert Christopher P,2020286,,Tax Withholding (RSU Vesting),5552,323959.2,89182,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000015/wk-form4_1736551139.xml
2025-01-07,MTDR,MTDR,58.35,Krug George G,1667651,,Tax Withholding (RSU Vesting),11348,662155.8,225910,https://www.sec.gov/Archives/edgar/data/1520006/000152000625000014/wk-form4_1736551106.xml
