Holder,Shares,Ticker
Vanguard Group Inc,191198005,VTI
Blackrock Inc.,164634167,BLK
"FMR, LLC",136254148,FIS
State Street Corporation,86126470,STT
JPMORGAN CHASE & CO,51690578,JPM
"Geode Capital Management, LLC",49181127,
Price (T.Rowe) Associates Inc,42317434,TROW
Capital World Investors,40317105,
Capital Research Global Investors,36907128,
Morgan Stanley,36123941,MS
