date,stock_ticker,issuerTradingSymbol,price,insider_name,insider_cik,relationship,transaction_type,shares,value,shares_total,xml_link
2025-02-27,META,META,682.3513,Cox Christopher K,1607459,,Sale,800,545881.04,315910,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-27,META,META,683.8139,Cox Christopher K,1607459,,Sale,1682,1150174.98,314228,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-27,META,META,684.9483,Cox Christopher K,1607459,,Sale,2455,1681548.08,311773,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-27,META,META,685.9773,Cox Christopher K,1607459,,Sale,1887,1294439.17,309886,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-27,META,META,687.0589,Cox Christopher K,1607459,,Sale,900,618353.01,308986,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-27,META,META,688.21,Cox Christopher K,1607459,,Sale,300,206463.0,308686,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002857/dp225728_4-cox.xml
2025-02-26,META,META,658.8958,Cox Christopher K,1607459,,Sale,1200,790674.96,347486,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,659.6966,Cox Christopher K,1607459,,Sale,3640,2401295.62,343846,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,660.4712,Cox Christopher K,1607459,,Sale,478,315705.23,343368,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,661.8014,Cox Christopher K,1607459,,Sale,474,313693.86,342894,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,662.9283,Cox Christopher K,1607459,,Sale,691,458083.46,342203,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,663.938,Cox Christopher K,1607459,,Sale,2693,1787985.03,339510,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,664.9256,Cox Christopher K,1607459,,Sale,3421,2274710.48,336089,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,665.8164,Cox Christopher K,1607459,,Sale,1409,938135.31,334680,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,666.9412,Cox Christopher K,1607459,,Sale,306,204084.01,334374,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,668.2327,Cox Christopher K,1607459,,Sale,2280,1523570.56,332094,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,669.466,Cox Christopher K,1607459,,Sale,500,334733.0,331594,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,670.6062,Cox Christopher K,1607459,,Sale,2100,1408273.02,329494,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-26,META,META,671.6027,Cox Christopher K,1607459,,Sale,808,542654.98,328686,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002758/dp225601_4-cox.xml
2025-02-25,META,META,665.75,Newstead Jennifer,1780525,,Sale,921,613155.75,34866,https://www.sec.gov/Archives/edgar/data/1326801/000095010325002644/dp225385_4-newstead.xml
