Holder,Shares,Ticker
Horizon Kinetics Asset Management LLC,3606579,
Vanguard Group Inc,2350380,VTI
Blackrock Inc.,1815148,BLK
State Street Corporation,1185230,STT
"Geode Capital Management, LLC",622115,
"SoftVest Advisors, LLC",393300,
First Manhattan Co. LLC,338032,
Invesco Ltd.,299578,IVZ
Morgan Stanley,283617,MS
Northern Trust Corporation,224768,NTRS
