Date,Action,Analyst,Rating Change,Price Target Change
2021-01-12,Initiated,BWS Financial,Buy,$1150
2021-04-01,Downgrade,Stifel,Buy → Hold,$1359
2021-09-29,Initiated,Credit Suisse,Underperform,$800
