Close,High,Low,Open,Volume
264.7980041503906,266.1090892851048,263.03003673344716,263.76502522807306,115400
261.39117431640625,265.3045148772445,260.8150777229413,264.8078945159202,105000
263.3577880859375,264.2417869340314,260.01057149022677,261.15279233073977,134900
263.91400146484375,266.55602560000733,260.05031055887565,262.74198460895036,83000
264.3609924316406,266.3772701764036,258.4015472379011,263.1790333766445,106400
266.3971252441406,266.4964553933976,263.38760662062157,264.68874973536145,87400
272.3863525390625,272.6644587559672,268.1750211655614,268.1750211655614,100100
265.6521911621094,272.3764511641475,265.5032110958002,272.3665090559584,93400
267.8968811035156,269.6648483257592,266.05937975800447,266.05937975800447,117200
276.289794921875,277.0943175107529,269.42649764842685,269.6648657306714,123600
273.13128662109375,277.99819094567295,272.0387459552214,277.50157052980194,138600
275.6938781738281,277.22344730398623,273.50873611459355,274.13448271843373,137600
275.1773681640625,277.1141999657648,274.71054374736684,276.9950159123626,156000
276.7864074707031,280.48126419748206,275.1674202315527,275.1674202315527,216800
279.6469421386719,280.52099891443197,277.12413226745144,277.12413226745144,136900
279.10064697265625,282.44786340504675,278.5344924781061,280.8686142712765,126600
277.3426208496094,279.66680052799234,275.78322562373864,279.66680052799234,150000
275.068115234375,278.89209845528563,274.79995112492884,277.690255238428,129400
277.03472900390625,277.6306492170759,272.4459311833798,274.54168497070265,82800
275.2369689941406,277.2234507778624,274.55166066515864,276.19050207446776,65900
277.4717102050781,277.84914652469837,274.2834160130401,274.2834160130401,96600
273.8265686035156,277.9087738915665,271.67122265162044,277.8789778789276,92600
276.11102294921875,278.19683486263494,274.89926786133367,275.385976504958,120300
275.43560791015625,277.51147757560267,275.385957993941,276.14080040145524,110800
277.25323486328125,277.6902329027203,275.05815100255427,275.05815100255427,136200
274.9389953613281,277.13404913747536,273.3001540324281,275.2369554897445,122800
272.58502197265625,279.46817380545616,271.97912929077995,275.41576446441405,121000
273.031982421875,274.78006564610615,270.61838420273784,272.20757557037876,88800
274.88934326171875,275.5150898377312,271.04550607913365,271.6613105471761,102900
289.0330810546875,293.6814408567302,288.3278885537125,289.1324111997851,306200
288.6854248046875,292.7775719423961,280.51107263662396,289.0032691269743,176600
295.71759033203125,296.273802747671,290.67191016133756,291.3175106104227,177800
298.5880432128906,302.7795205840301,297.1279780304692,298.101364922518,173800
300.59442138671875,301.3294099063042,297.4756306098635,298.93569585235406,113100
298.1510009765625,300.7334329880978,297.71397262178107,300.3758808676232,118000
294.813720703125,299.19391595903556,293.7707997500216,299.19391595903556,122000
296.59161376953125,299.5415400886687,293.75095969770416,297.76366092258235,98100
298.8562316894531,300.42553877881915,297.565000493658,297.565000493658,93400
295.81689453125,298.4092687846703,291.01955479766826,296.0751468392201,123200
292.5888671875,296.59162647648594,290.16538747501437,296.59162647648594,181100
295.76702880859375,297.50055442668094,292.45935636591616,294.8504639271069,78700
300.6089782714844,300.73846973640985,295.1991295169295,297.1518693211797,196500
302.27276611328125,304.7634778156059,300.7185644433663,302.1233294919809,180400
303.7970886230469,305.34134816250526,301.1170803269885,304.36497820344505,134200
303.1395263671875,306.7660171692343,302.7509911550798,305.1320957122606,76000
301.62518310546875,304.9627428226524,301.6152105294506,304.9627428226524,48200
300.001220703125,303.35869501673335,296.43453513193765,303.35869501673335,161200
297.4607238769531,300.7285364075858,296.3548320731896,300.25030881620216,169800
296.7732849121094,297.9289787877346,293.9637548215823,297.11201805431403,97300
294.63128662109375,298.85552403902875,294.62131404470546,296.7633200786415,112800
294.4917907714844,296.70354402125406,289.8889603229843,294.4718760229986,143400
286.0831298828125,293.8939978552565,285.33591639866574,293.8939978552565,107300
280.1253662109375,285.59495916699444,276.42912829754397,285.59495916699444,151100
281.7791748046875,283.5824779970338,276.98704805992736,281.33086495371305,143600
283.48284912109375,287.1192820935298,281.59985649675394,282.7256630409323,143900
280.1153869628906,284.32968184430825,278.81025654509864,283.20387536082495,114900
279.48773193359375,281.13159552693264,276.8874435884532,281.13159552693264,209300
274.61590576171875,279.39805975011024,274.18748027025464,277.34571587637447,182800
266.09765625,275.452783451924,263.96562296743,275.452783451924,235600
265.8486022949219,270.4514326853046,265.2309106535037,268.00058086786623,343500
270.49127197265625,270.49127197265625,263.9755621014667,265.0615086792994,860800
269.2060852050781,271.14885256734374,266.67554391174554,267.4625869481411,126200
270.7104797363281,270.7104797363281,268.13010601339334,270.31197193740854,67500
271.49755859375,273.1613370486796,269.19614332443524,269.19614332443524,92500
269.58465576171875,272.4639329511551,268.7278655695507,269.53485369164173,83600
268.67803955078125,270.46139760362337,265.92831456670507,267.16369781456257,94500
270.4115905761719,272.0056216780515,267.2633274628291,270.4315053234773,139900
270.7503356933594,274.9944877761112,269.2857959904124,271.03923636095476,158800
275.3730773925781,276.2996148409775,270.89976894248633,271.7366444188659,161300
274.2173767089844,278.78037742188883,273.8886161530825,275.3730705488424,173800
274.9446716308594,276.71805706301626,272.29455085620805,274.8848969851615,135800
277.41546630859375,277.6246775669075,272.14511212317245,274.9446694902725,149600
270.401611328125,276.0605006510671,268.1300836193838,274.4365518620095,133400
272.9122619628906,273.201193040536,267.5323306363505,268.1799096138069,121400
281.51019287109375,282.3570409182688,272.9919711360974,272.9919711360974,174800
282.0979919433594,286.979780636734,281.13159461882685,286.4916108886549,123300
287.667236328125,288.63363370927084,281.3707400923649,281.3707400923649,132600
291.05462646484375,291.75200751139835,287.6572919938594,288.9823372652505,109100
292.4394226074219,294.90024682922535,291.63243449944764,292.47928250530276,117600
292.03094482421875,293.4954844411871,290.40699601852396,293.1467787411101,97200
