Close,High,Low,Open,Volume
577.5,577.5,546.75,564.0,84
583.5,591.0,562.5,580.5,155
562.5,598.5,507.0,576.0,443
568.5,577.5,546.0,546.0,172
565.5,585.0,552.0,574.5,127
561.0,588.4500122070312,546.2999877929688,555.0,253
562.5,568.5,550.5,561.0,141
547.5,567.9000244140625,541.5,559.5,158
555.0,567.0,541.5,549.0,158
547.5,562.5,532.5,532.5,103
558.0,558.0,537.0,549.0,56
621.0,622.5,549.9000244140625,550.5,491
591.0,653.25,577.5,652.5,501
628.5,628.5,579.0,606.0,160
640.5,655.5,603.0,625.5,199
571.5,634.5,545.7000122070312,625.5,1173
532.5,576.0,525.0,570.0,411
532.5,547.5,502.5,538.5,639
541.5,546.0,520.5,522.0,242
547.5,598.5,528.0,558.0,260
544.5,562.5,516.0,562.5,310
553.5,553.5,530.0999755859375,550.5,115
540.0,563.8499755859375,534.0,543.0,111
588.0,595.5,523.7999877929688,540.0,1881
525.0,582.0,525.0,571.5,1006
525.0,537.0,522.1500244140625,535.5,293
550.5,550.5,511.5,549.0,215
596.25,600.0,535.2000122070312,541.5,294
582.0,600.0,571.5,600.0,159
705.0,873.0,610.5,840.0,213106
690.0,732.0,636.0,663.0,4746
751.5,765.0,649.5,696.0,3260
822.0,844.5,750.0,756.0,3293
1075.5,1312.5,834.0,843.0,7651
1062.0,1147.5,1053.0,1072.5,1424
883.5,1092.0,843.0,1081.5,1109
864.0,963.4500122070312,850.5,907.5,440
928.5,928.5,846.0,850.5,787
942.0,952.5,915.0,930.0,315
979.5,1012.5,924.0,949.5,567
915.0,1011.5999755859375,915.0,979.5,577
963.0,997.5,910.5,919.5,631
958.5,1122.0,907.5,961.5,2499
901.5,966.0,863.7000122070312,966.0,789
852.0,900.0,831.0,892.5,830
819.0,873.0,780.2999877929688,852.0,515
751.5,829.3499755859375,746.25,802.5,1357
871.5,885.0,733.5,733.5,2269
838.5,878.25,826.5,871.5,310
894.0,936.0,850.5,850.5,363
624.0,701.25,527.25,633.75,6530
591.0,655.9500122070312,574.6500244140625,625.5,1109
609.0,625.5,588.0,592.5,526
622.5,622.5,560.25,577.5,631
492.0,605.0999755859375,490.5,585.0,1561
405.0,474.0,397.6499938964844,474.0,2055
377.25,420.0,364.5,405.0,2572
253.5,351.0,243.0,351.0,5344
241.5,295.95001220703125,240.0,283.5,2573
70.3499984741211,73.3499984741211,52.650001525878906,55.5,186445
