Date,Close,High,Low,Open,Volume
2024-09-26,2.081593513488769,2.101418195611226,2.081593513488769,2.101418195611226,7400
2024-09-27,2.0022947788238525,2.041944142946487,1.9824700967625355,2.041944142946487,30800
2024-09-30,2.101418256759644,2.101418256759644,2.0022948432630034,2.0221195259623315,6900
2024-10-01,2.081593513488769,2.081593513488769,2.0419441492438564,2.081593513488769,6000
2024-10-02,2.0221195220947266,2.0815935700789576,1.9824701567719056,2.0815935700789576,5700
2024-10-03,2.051856517791748,2.08159354137379,1.972557788239636,1.972557788239636,9900
2024-10-04,2.081593513488769,2.081593513488769,2.032031808182628,2.0419441492438564,7800
2024-10-07,2.091506004333496,2.11133092420457,2.091506004333496,2.101418346104598,13600
2024-10-08,2.11133074760437,2.11133074760437,2.0320317837395683,2.0419441246815624,6500
2024-10-09,2.1212432384490967,2.1212432384490967,2.051856610622917,2.051856610622917,10300
2024-10-10,2.081593513488769,2.121243114062535,2.032031808182628,2.111330773001307,6000
2024-10-11,2.0617687702178955,2.1311553919174617,2.0320317479161583,2.0617687702178955,14600
2024-10-14,2.051856517791748,2.071681200179776,2.03203183540372,2.03203183540372,19600
2024-10-15,2.0221195220947266,2.0815935700789576,2.012207180764021,2.041944204756137,21800
2024-10-16,2.081593513488769,2.121243114062535,2.061768831366313,2.081593513488769,23000
2024-10-17,2.101418256759644,2.111330834438167,2.0716812327106515,2.111330834438167,38400
2024-10-18,2.101418256759644,2.131155517137495,2.0815935740603155,2.0815935740603155,7800
2024-10-21,2.131155490875244,2.131155490875244,2.101418230863845,2.12124314964773,25000
2024-10-22,2.131155490875244,2.131155490875244,2.111330808420216,2.131155490875244,17000
2024-10-23,2.131155490875244,2.1410678321027583,2.131155490875244,2.1410678321027583,15600
2024-10-24,2.150980234146118,2.150980234146118,2.131155551130576,2.131155551130576,7500
2024-10-25,2.141067743301392,2.170804765750583,2.1311554024849944,2.1509800841177884,29600
2024-10-28,2.170804977416992,2.170804977416992,2.121243268502445,2.121243268502445,15000
2024-10-29,2.150980234146118,2.1708049171616604,2.131155551130576,2.1708049171616604,7600
2024-10-30,2.18071722984314,2.2203665953501104,2.150980205712912,2.18071722984314,14900
2024-10-31,2.141067743301392,2.200541788199774,2.141067743301392,2.200541788199774,6800
2024-11-01,2.18071722984314,2.18071722984314,2.121243181582684,2.121243181582684,3000
2024-11-04,2.1608924865722656,2.200541850968827,2.150980145473125,2.200541850968827,17000
2024-11-05,2.2005419731140137,2.210454314763357,2.150980264867297,2.1906296314646703,38400
2024-11-06,2.250103712081909,2.299665421005303,2.170804977804479,2.2104543449431944,31800
2024-11-07,2.2996652126312256,2.2996652126312256,2.279840530858195,2.28975287174471,44100
2024-11-08,2.289752960205078,2.2996653014745387,2.2699282776661573,2.279840618935617,7600
2024-11-11,2.309577703475952,2.3194900450060643,2.29966536194584,2.309577703475952,11200
2024-11-12,2.309577703475952,2.309577703475952,2.2897530204157275,2.2897530204157275,10600
2024-11-13,2.309577703475952,2.3194900450060643,2.29966536194584,2.3194900450060643,12100
2024-11-14,2.349226951599121,2.349226951599121,2.309577587470185,2.319489928502419,19400
2024-11-15,2.2996652126312256,2.349226917063803,2.279840530858195,2.349226917063803,10400
2024-11-18,2.3393146991729736,2.349227040580657,2.2798406507268747,2.2798406507268747,13400
2024-11-19,2.329402446746826,2.3492271303194814,2.329402446746826,2.329402446746826,3700
2024-11-20,2.329402446746826,2.3492271303194814,2.329402446746826,2.329402446746826,3300
2024-11-21,2.349226951599121,2.349226951599121,2.339314610566887,2.339314610566887,6400
2024-11-22,2.676334857940674,2.725896566428139,2.349227109265667,2.349227109265667,159300
2024-11-25,2.7457211017608643,2.8250198310646466,2.696159395946,2.696159395946,51700
2024-11-26,2.448350667953491,2.7258964610864687,2.448350667953491,2.7258964610864687,32500
2024-11-27,2.48799991607666,2.54747396116323,2.398788848446805,2.458262893533375,18400
2024-11-29,2.7457211017608643,2.7457211017608643,2.5573863833355266,2.5573863833355266,7100
2024-12-02,2.6862471103668213,2.7952828654156887,2.656510086262585,2.765545841311452,23800
2024-12-03,2.6862471103668213,2.765545841311452,2.636685403526428,2.636685403526428,10500
2024-12-04,2.616860628128052,2.7655457433843407,2.616860628128052,2.676334674230567,20500
2024-12-05,2.666422367095948,2.666422367095948,2.5772110604797063,2.5871234016227493,17700
2024-12-06,2.7258963584899902,2.7358086994313453,2.6565099719005048,2.715984017548635,11900
2024-12-09,2.636685371398926,2.725896442624616,2.626773030151627,2.68624707763542,37200
2024-12-10,2.527649402618408,2.6069483695929083,2.527649402618408,2.58712345060264,26600
2024-12-11,2.5474741458892822,2.616860773183923,2.5276494627562034,2.5474741458892822,8500
2024-12-12,2.527649402618408,2.577211109271934,2.4880000372955875,2.5573864266105235,14000
2024-12-13,2.4979124069213867,2.4979124069213867,2.4780877240354124,2.4780877240354124,16000
2024-12-16,2.4979124069213867,2.4979124069213867,2.4780877240354124,2.4979124069213867,7600
2024-12-17,2.48799991607666,2.48799991607666,2.478087575228898,2.48799991607666,7700
