Holder,Shares,Ticker
Horizon Kinetics Asset Management LLC,725897,
"Moors & Cabot, Inc.",243960,
PECAUT & CO.,86050,
Osaic Holdings Inc,71460,
Morgan Stanley,34000,MS
Mad River Investors,28000,
"Barnes Pettey Financial Advisors, LLC",13067,
"Caldwell Sutter Capital, Inc.",2000,
Tower Research Capital LLC (TRC),181,
"Blue Bell Private Wealth Management, LLC",110,
