Holder,Shares,Ticker
Vanguard Group Inc,13376606,VTI
Blackrock Inc.,10047620,BLK
State Street Corporation,6302294,STT
Temasek Holdings (Private) Limited,5092825,
Bank of America Corporation,4993306,BAC
Morgan Stanley,4783073,MS
Capital World Investors,4097524,
"Charles Schwab Investment Management, Inc.",3738222,SCHW
Capital Research Global Investors,3255488,
"Geode Capital Management, LLC",3006765,
